rollout_id,run_id,model_variant,task_index,task_name,task_instruction,trial_index,initial_state_id,rollout_seed,success,timeout,termination_reason,episode_steps,steps_to_success,episode_time_seconds,inference_calls,actions_generated,actions_executed,replan_count,avg_inference_latency_ms,p95_inference_latency_ms,avg_end_to_end_latency_ms,p95_end_to_end_latency_ms,control_frequency_hz,peak_vram_allocated_gb,peak_vram_reserved_gb,invalid_action_count,automatic_failure_reason,failure_detail,manual_failure_reason,manual_failure_note,video_path,started_at,finished_at
task_00_trial_000,df_05_01_lora_onestepce_libero10_seed42_best_step10000,DF-04-02 LoRA Batch12,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,put both the alphabet soup and the tomato sauce in the basket,0,0,42,False,True,timeout,520,,83.469599,520,520,520,519,123.87096819539482,125.17991364002228,155.7780681321254,158.54244884103537,6.4193888908150765,14.849611282348633,15.05859375,0,timeout,,,,/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-05-01 Lora_Batch12/output/videos/task_00_trial_000.mp4,2026-07-11T03:57:17.014037+00:00,2026-07-11T03:58:40.484481+00:00
task_00_trial_001,df_05_01_lora_onestepce_libero10_seed42_best_step10000,DF-04-02 LoRA Batch12,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,put both the alphabet soup and the tomato sauce in the basket,1,1,43,False,True,timeout,520,,83.089925,520,520,520,519,122.89068173760406,126.73271223902701,154.65799848763987,159.25790648907423,6.4658796168238215,14.849611282348633,15.05859375,0,timeout,,,,/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-05-01 Lora_Batch12/output/videos/task_00_trial_001.mp4,2026-07-11T03:58:40.487270+00:00,2026-07-11T04:00:03.577964+00:00
task_00_trial_002,df_05_01_lora_onestepce_libero10_seed42_best_step10000,DF-04-02 LoRA Batch12,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,put both the alphabet soup and the tomato sauce in the basket,2,2,44,False,True,timeout,520,,84.669749,520,520,520,519,122.73686205108578,124.50936045497656,157.58239689211433,160.8448140323162,6.345886467792657,14.849611282348633,15.05859375,0,timeout,,,,/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-05-01 Lora_Batch12/output/videos/task_00_trial_002.mp4,2026-07-11T04:00:03.581421+00:00,2026-07-11T04:01:28.251954+00:00
task_00_trial_003,df_05_01_lora_onestepce_libero10_seed42_best_step10000,DF-04-02 LoRA Batch12,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,put both the alphabet soup and the tomato sauce in the basket,3,3,45,False,True,timeout,520,,83.045346,520,520,520,519,122.58511435670349,124.11836069077253,154.54813262017873,157.68520031124353,6.470476110233078,14.849611282348633,15.05859375,0,timeout,,,,/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-05-01 Lora_Batch12/output/videos/task_00_trial_003.mp4,2026-07-11T04:01:28.255034+00:00,2026-07-11T04:02:51.301175+00:00
task_00_trial_004,df_05_01_lora_onestepce_libero10_seed42_best_step10000,DF-04-02 LoRA Batch12,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,put both the alphabet soup and the tomato sauce in the basket,4,4,46,False,True,timeout,520,,83.059509,520,520,520,519,122.44627033002101,123.78980703651905,154.48830018106563,157.07202274352312,6.472982088792261,14.849611282348633,15.05859375,0,timeout,,,,/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-05-01 Lora_Batch12/output/videos/task_00_trial_004.mp4,2026-07-11T04:02:51.303669+00:00,2026-07-11T04:04:14.363954+00:00
task_00_trial_005,df_05_01_lora_onestepce_libero10_seed42_best_step10000,DF-04-02 LoRA Batch12,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,put both the alphabet soup and the tomato sauce in the basket,5,5,47,False,True,timeout,520,,83.854994,520,520,520,519,123.27647209883882,125.05259122699499,156.10574880758156,159.66400895267725,6.4059139886809415,14.849611282348633,15.05859375,0,timeout,,,,/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-05-01 Lora_Batch12/output/videos/task_00_trial_005.mp4,2026-07-11T04:04:14.366929+00:00,2026-07-11T04:05:38.222853+00:00
task_00_trial_006,df_05_01_lora_onestepce_libero10_seed42_best_step10000,DF-04-02 LoRA Batch12,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,put both the alphabet soup and the tomato sauce in the basket,6,6,48,False,True,timeout,520,,83.30454,520,520,520,519,122.98044211302812,124.34648014605045,155.05697351808732,157.96029474586248,6.449242348222091,14.849611282348633,15.05859375,0,timeout,,,,/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-05-01 Lora_Batch12/output/videos/task_00_trial_006.mp4,2026-07-11T04:05:38.225792+00:00,2026-07-11T04:07:01.531155+00:00
task_00_trial_007,df_05_01_lora_onestepce_libero10_seed42_best_step10000,DF-04-02 LoRA Batch12,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,put both the alphabet soup and the tomato sauce in the basket,7,7,49,False,True,timeout,520,,83.575025,520,520,520,519,122.82694621871298,123.98754823952913,155.5976016805149,158.10401532799006,6.426834277647015,14.849611282348633,15.05859375,0,timeout,,,,/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-05-01 Lora_Batch12/output/videos/task_00_trial_007.mp4,2026-07-11T04:07:01.533731+00:00,2026-07-11T04:08:25.109640+00:00
task_00_trial_008,df_05_01_lora_onestepce_libero10_seed42_best_step10000,DF-04-02 LoRA Batch12,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,put both the alphabet soup and the tomato sauce in the basket,8,8,50,False,True,timeout,520,,83.36616,520,520,520,519,123.03080847486854,124.23750665038824,155.19920528078308,157.3780596256256,6.443331962884871,14.849611282348633,15.05859375,0,timeout,,,,/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-05-01 Lora_Batch12/output/videos/task_00_trial_008.mp4,2026-07-11T04:08:25.112842+00:00,2026-07-11T04:09:48.479785+00:00
task_00_trial_009,df_05_01_lora_onestepce_libero10_seed42_best_step10000,DF-04-02 LoRA Batch12,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,put both the alphabet soup and the tomato sauce in the basket,9,9,51,False,True,timeout,520,,83.08828,520,520,520,519,122.86110948054836,123.78981728106737,154.58554803895262,156.64117354899645,6.4689100157539885,14.849611282348633,15.05859375,0,timeout,,,,/root/autodl-tmp/openvla_efficiency_project/scripts/Simulation/DF-05-01 Lora_Batch12/output/videos/task_00_trial_009.mp4,2026-07-11T04:09:48.482917+00:00,2026-07-11T04:11:11.571979+00:00
